id,name,style,brewery_id,abv,ibu,oz
1,Dale's Pale Ale,American Pale Ale (APA),166,0.065,65,12
4,Gordon Ale (2009),American Double / Imperial IPA,166,0.087,85,12
5,Old Chub,Scottish Ale,166,0.08,35,12
6,GUBNA Imperial IPA,American Double / Imperial IPA,166,0.099,100,12
7,Mama's Little Yella Pils,Czech Pilsener,166,0.053,35,12
8,Ten Fidy Imperial Stout,Russian Imperial Stout,166,0.099,98,12
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,0.049,17,12
10,Brew Free! or Die IPA,American IPA,368,0.07,65,12
11,Monk's Blood,Belgian Dark Ale,368,0.083,35,12
12,Furious,American IPA,61,0.062,99,16
13,CynicAle,Saison / Farmhouse Ale,61,0.067,33,16
14,Hell,Keller Bier / Zwickel Bier,61,0.051,20,16
15,Abrasive Ale,American Double / Imperial IPA,61,0.097,120,16
16,Bender,American Brown Ale,61,0.051,45,16
17,Coffee Bender,American Brown Ale,61,0.051,45,16
18,SurlyFest,Rye Beer,61,0.055,34,16
19,Bitter Brewer,English Bitter,61,0.04,37,16
20,Phoenix Pale Ale,American Pale Ale (APA),371,0.051,40,12
21,Pikeland Pils,German Pilsener,371,0.049,44,12
22,Royal Weisse Ale,Hefeweizen,371,0.056,11,12
23,Dunkel Lager,Munich Dunkel Lager,371,0.053,21,12
24,113 IPA,American IPA,371,0.07,113,12
25,Siamese twin,Dubbel,522,0.085,,16
26,Black Noddy Lager (Current),Schwarzbier,530,0.052,40,16
27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,530,0.058,35,16
28,Tule Duck Red Ale (Current),American Amber / Red Ale,530,0.062,42,16
29,Very Noddy Lager (Current),Schwarzbier,530,0.099,,16
30,Urban Wilderness Pale Ale,English Pale Ale,557,0.049,,12
31,Big Swell IPA,American IPA,375,0.062,65,12
32,CoCoNut Porter,American Porter,375,0.057,30,12
33,Bikini Blonde Lager,Munich Helles Lager,375,0.045,18,12
34,Moose Drool Brown Ale (2009),American Brown Ale,336,0.051,26,12
35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,0.05,35,12
36,Caldera IPA,American IPA,155,0.061,94,12
37,Ashland Amber Ale,American Amber / Red Ale,155,0.054,24,12
38,Caldera Pale Ale (2011),American Pale Ale (APA),155,0.056,55,12
39,Sea Hag IPA (Current),American IPA,410,0.062,,12
40,Atlantic Amber Ale (2007),American Amber / Red Ale,410,0.05,,12
41,Elm City Lager (2007),American Pilsner,410,0.05,,12
42,Gandhi-Bot Double IPA (16 oz.) (2010),American Double / Imperial IPA,410,0.088,85,16
43,668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,410,0.09,,16
44,Bombshell Blonde,American Blonde Ale,118,0.05,20,12
45,Pine Belt Pale Ale,American Pale Ale (APA),118,0.065,45,16
46,Buried Hatchet Stout,Foreign / Export Stout,118,0.083,50,12
47,Ballz Deep Double IPA,American Double / Imperial IPA,481,0.084,82,16
48,British Pale Ale,English Pale Ale,481,0.054,30,16
49,Porkslap Pale Ale,American Pale Ale (APA),556,0.043,,12
50,Moo Thunder Stout,Milk / Sweet Stout,556,0.049,,12
51,Snapperhead IPA,American IPA,556,0.068,,12
52,Heinnieweisse Weissebier,Hefeweizen,556,0.049,,12
53,Schlafly Summer Lager,Munich Helles Lager,428,0.045,17,12
54,Osiris Pale Ale (2010),American Pale Ale (APA),25,0.056,50,16
55,Sunlight Cream Ale,Cream Ale,25,0.053,20,16
56,Whale's Tale Pale Ale,English Pale Ale,145,0.056,,12
57,Red Jacket Amber Ale,American Amber / Red Ale,84,,,12
58,Pick Axe Blonde Ale,American Blonde Ale,84,,,12
59,Lift Bridge Brown Ale,American Brown Ale,84,,,12
60,Widow Maker Black Ale,American Brown Ale,84,,,12
61,Supper Club Lager,American Pale Lager,192,,,12
62,U.S. Pale Ale,American Pale Ale (APA),192,0.05,,12
63,Wisconsin Amber (2013),Vienna Lager,192,0.052,,12
64,Liquid Amber Ale,American Amber / Red Ale,548,,,12
65,Brooklyn Lager (12 oz.),American Amber / Red Lager,437,0.052,,12
66,Brooklyn Lager (16 oz.),American Amber / Red Lager,437,0.052,,16
67,Modus Hoperandi,American IPA,264,0.068,65,12
68,ESB Special Ale,Extra Special / Strong Bitter (ESB),264,0.057,58,12
69,Euphoria Pale Ale,American Pale Ale (APA),264,0.061,,12
70,True Blonde Ale,American Blonde Ale,264,0.053,,12
71,Fat Tire Amber Ale (2008),American Amber / Red Ale,82,0.052,18,12
72,Sunshine Wheat Beer (2009),American Pale Wheat Ale,82,0.048,,12
73,Real McCoy Amber Ale (Current),American Amber / Red Ale,534,0.045,,12
74,Golden Trout Pilsner,German Pilsener,534,0.042,,12
75,Epic IPA,American IPA,534,0.065,,12
76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,0.055,28,12
77,Summer Solstice (2011),Cream Ale,171,0.056,4,12
78,Boont Amber Ale (2011),American Amber / Red Ale,171,0.058,15,12
79,Upslope India Pale Ale,American IPA,51,0.072,,12
80,Upslope Pale Ale,American Pale Ale (APA),51,0.058,,12
81,Hazed & Infused (2010),American Pale Ale (APA),417,0.049,35,12
82,Haywire Hefeweizen (2010),Hefeweizen,544,0.052,18,16
83,Avalanche Ale,American Amber / Red Ale,391,0.054,19,12
84,Rail Yard Ale (2009),American Amber / Red Ale,424,0.052,,12
85,Cold Smoke Scotch Ale,Scotch Ale / Wee Heavy,510,0.065,11,16
86,Double Haul IPA,American IPA,510,0.065,65,16
87,Eddy Out Pale Ale,American Pale Ale (APA),510,0.055,50,16
88,Viennese Lager,Vienna Lager,364,0.05,,12
89,Czech Pilsner,Czech Pilsener,364,0.05,,12
90,Third Eye Pale Ale,American IPA,119,0.065,65,12
91,Steam Engine Lager,American Amber / Red Lager,119,0.057,25,12
92,Colorado Kölsch,Kölsch,119,0.049,17,12
94,Resurrection,Dubbel,262,0.07,,12
96,Annie's Amber Ale,American Amber / Red Ale,500,0.055,,12
97,Lazy Daze Lager,American Adjunct Lager,229,0.055,,12
98,Pilsner Ukiah,German Pilsener,555,0.055,,12
101,Tallgrass IPA,American IPA,45,0.063,60,16
102,Buffalo Sweat (2010),Milk / Sweet Stout,45,0.05,20,16
103,Tallgrass Ale,American Brown Ale,45,0.044,22,16
104,Oasis (2010),American Double / Imperial IPA,45,0.072,93,16
105,Köld Lager (2010),German Pilsener,45,0.05,16,16
106,Ellie’s Brown Ale,American Brown Ale,37,0.055,17,12
107,Avery India Pale Ale,American IPA,37,0.063,69,12
108,White Rascal,Witbier,37,0.056,10,12
109,Floppin' Crappie,American Pale Wheat Ale,529,0.045,,12
110,BrewFarm Select Golden Lager,American Pale Lager,554,0.055,,12
112,Fearless Scottish Ale,Scottish Ale,201,0.05,,16
113,Triangle Belgian Golden Ale,Belgian Strong Pale Ale,524,0.08,,12
114,Triangle White Ale,Witbier,524,0.05,,12
115,Ranger IPA (Current),American IPA,82,0.065,70,12
119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,0.059,60,12
120,Hurricane Amber Ale,American Amber / Red Ale,101,0.052,24,12
121,Cornstalker Dark Wheat,American Dark Wheat Ale,282,,,12
122,Golden Frau Honey Wheat,Braggot,282,0.075,,12
124,Epicenter Amber Ale (2010),American Amber / Red Ale,30,0.055,20,12
125,Lumberyard Red Ale,American Amber / Red Ale,158,0.058,,12
126,Harpoon IPA (2010),American IPA,234,0.059,42,12
128,O'Fallon Wheach,Fruit / Vegetable Beer,442,0.051,7,12
129,Heiner Brau Kölsch,Kölsch,553,0.05,,12
130,Morning Wood Wheat (Current),American Pale Wheat Ale,135,0.059,14,12
131,Dry Heat Hefeweizen (2006),Hefeweizen,507,0.055,,12
132,Full Moon Belgian White Ale (2007),Witbier,507,0.085,,12
133,Saranac Pale Ale (16 oz.),English Pale Ale,299,0.055,,16
138,Point Special Lager,American Adjunct Lager,131,0.047,9,12
139,Point Amber Classic,American Amber / Red Lager,131,0.047,14,12
140,Point Cascade Pale Ale,American Pale Ale (APA),131,0.054,33,12
141,Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,131,0.05,7,12
142,Black Iron India Pale Ale,American IPA,536,,,12
143,Grand Canyon Sunset Amber Ale,American Amber / Red Ale,536,0.054,,12
145,Silverback Pale Ale,American Pale Ale (APA),424,0.055,40,12
146,Avery Joe’s Premium American Pilsner,German Pilsener,37,0.047,42,12
148,Daisy Cutter Pale Ale,American Pale Ale (APA),327,0.052,,16
149,Gossamer Golden Ale,American Blonde Ale,327,0.042,,16
150,Saranac Pale Ale (12 oz.),English Pale Ale,299,0.055,,12
158,Cornerstone IPA,American IPA,229,0.07,,16
159,Scape Goat Pale Ale (2010),English Pale Ale,336,0.05,40,12
160,Ice Pick Ale,American IPA,551,0.068,,12
161,Red Mountain Ale,American Amber / Red Ale,551,0.06,,12
162,Paddy Pale Ale,American Pale Ale (APA),361,0.056,41,12
164,Black Star Double Hopped Golden Lager (12 oz.),American Pale Lager,543,0.045,15,12
165,White Ale,Witbier,518,0.046,,12
166,Oktoberfest Lager,Märzen / Oktoberfest,371,0.058,25,12
168,Summer Honey,American Blonde Ale,336,0.047,,12
169,Horny Toad Cerveza (2013),American Blonde Ale,182,0.053,25,16
170,Native Amber (2013),American Amber / Red Ale,182,0.063,35,16
171,Louie’s Demise Immort-Ale (2010),American Amber / Red Ale,284,0.051,24,16
172,Flaming Damsel Lager (2010),Vienna Lager,284,0.048,18,16
173,Back in Black,American Black Ale,368,0.068,65,12
174,Mickey Finn's Amber Ale,American Amber / Red Ale,552,0.056,,12
178,Sunbru Kölsch,Kölsch,160,0.052,,12
179,Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,160,0.06,21,12
180,Island Wheat,American Pale Wheat Ale,192,0.042,,12
181,Beltian White,Witbier,535,0.048,,12
182,Stowaway IPA,American IPA,292,0.069,69,12
183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,0.049,28,12
184,The Public,American Pale Ale (APA),227,0.06,,12
185,The Citizen,Belgian Pale Ale,227,0.07,,12
186,The Corruption,American IPA,227,0.065,80,12
188,Pallavicini Pilsner (2009),Czech Pilsener,135,0.058,21,12
189,Roller Dam Red Ale (2010),Irish Red Ale,365,0.054,30,16
190,483 Pale Ale (2010),American Pale Ale (APA),365,0.053,48,16
192,Harpoon Summer Beer (2010),Kölsch,234,0.05,28,12
193,Lucky U IPA,American IPA,391,0.062,68,12
195,Lancaster German Style Kölsch,Kölsch,545,0.048,28,12
212,Bear Ass Brown,American Brown Ale,551,0.042,,12
